Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
2003,..,Quebec,Private,Other Health Spending: Net of HCC,302405287,40,,
2004,..,Quebec,Private,Other Health Spending: Net of HCC,286799341,38,,
2005,..,Quebec,Private,Other Health Spending: Net of HCC,308848922,41,,
2006,..,Quebec,Private,Other Health Spending: Net of HCC,325534867,43,,
2007,..,Quebec,Private,Other Health Spending: Net of HCC,313167514,41,,
2008,..,Quebec,Private,Other Health Spending: Net of HCC,324318368,42,,
2009,..,Quebec,Private,Other Health Spending: Net of HCC,347651304,44,,
2010,..,Quebec,Private,Other Health Spending: Net of HCC,468613293,59,,
2011,..,Quebec,Private,Other Health Spending: Net of HCC,612901682,77,,
2012,..,Quebec,Private,Other Health Spending: Net of HCC,482736306,60,,
2013,..,Quebec,Private,Other Health Spending: Net of HCC,495337742,61,,
2014,..,Quebec,Private,Other Health Spending: Net of HCC,548334421,67,,
2015,..,Quebec,Private,Other Health Spending: Net of HCC,586348728,72,,
2016,..,Quebec,Private,Other Health Spending: Net of HCC,756922616,92,,
2017,..,Quebec,Private,Other Health Spending: Net of HCC,663149293,80,,
2018,..,Quebec,Private,Other Health Spending: Net of HCC,651537436,78,,
2019,..,Quebec,Private,Other Health Spending: Net of HCC,689856010,81,,
2020,f,Quebec,Private,Other Health Spending: Net of HCC,767312343,89,,
2021,f,Quebec,Private,Other Health Spending: Net of HCC,790156845,92,,
1975,..,Quebec,Private,COVID-19 Response Funding,,,,
1976,..,Quebec,Private,COVID-19 Response Funding,,,,
1977,..,Quebec,Private,COVID-19 Response Funding,,,,
1978,..,Quebec,Private,COVID-19 Response Funding,,,,
1979,..,Quebec,Private,COVID-19 Response Funding,,,,
1980,..,Quebec,Private,COVID-19 Response Funding,,,,
1981,..,Quebec,Private,COVID-19 Response Funding,,,,
1982,..,Quebec,Private,COVID-19 Response Funding,,,,
1983,..,Quebec,Private,COVID-19 Response Funding,,,,
1984,..,Quebec,Private,COVID-19 Response Funding,,,,
1985,..,Quebec,Private,COVID-19 Response Funding,,,,
1986,..,Quebec,Private,COVID-19 Response Funding,,,,
1987,..,Quebec,Private,COVID-19 Response Funding,,,,
1988,..,Quebec,Private,COVID-19 Response Funding,,,,
1989,..,Quebec,Private,COVID-19 Response Funding,,,,
1990,..,Quebec,Private,COVID-19 Response Funding,,,,
1991,..,Quebec,Private,COVID-19 Response Funding,,,,
1992,..,Quebec,Private,COVID-19 Response Funding,,,,
1993,..,Quebec,Private,COVID-19 Response Funding,,,,
1994,..,Quebec,Private,COVID-19 Response Funding,,,,
1995,..,Quebec,Private,COVID-19 Response Funding,,,,
1996,..,Quebec,Private,COVID-19 Response Funding,,,,
1997,..,Quebec,Private,COVID-19 Response Funding,,,,
1998,..,Quebec,Private,COVID-19 Response Funding,,,,
1999,..,Quebec,Private,COVID-19 Response Funding,,,,
2000,..,Quebec,Private,COVID-19 Response Funding,,,,
2001,..,Quebec,Private,COVID-19 Response Funding,,,,
2002,..,Quebec,Private,COVID-19 Response Funding,,,,
2003,..,Quebec,Private,COVID-19 Response Funding,,,,
2004,..,Quebec,Private,COVID-19 Response Funding,,,,
2005,..,Quebec,Private,COVID-19 Response Funding,,,,
2006,..,Quebec,Private,COVID-19 Response Funding,,,,
2007,..,Quebec,Private,COVID-19 Response Funding,,,,
2008,..,Quebec,Private,COVID-19 Response Funding,,,,
2009,..,Quebec,Private,COVID-19 Response Funding,,,,
2010,..,Quebec,Private,COVID-19 Response Funding,,,,
2011,..,Quebec,Private,COVID-19 Response Funding,,,,
2012,..,Quebec,Private,COVID-19 Response Funding,,,,
2013,..,Quebec,Private,COVID-19 Response Funding,,,,
2014,..,Quebec,Private,COVID-19 Response Funding,,,,
2015,..,Quebec,Private,COVID-19 Response Funding,,,,
2016,..,Quebec,Private,COVID-19 Response Funding,,,,
2017,..,Quebec,Private,COVID-19 Response Funding,,,,
2018,..,Quebec,Private,COVID-19 Response Funding,,,,
2019,..,Quebec,Private,COVID-19 Response Funding,,,,
2020,f,Quebec,Private,COVID-19 Response Funding,,,,
2021,f,Quebec,Private,COVID-19 Response Funding,,,,
1975,..,Quebec,Private,Sub-Total,677563586,107,,
1976,..,Quebec,Private,Sub-Total,737602984,115,,
1977,..,Quebec,Private,Sub-Total,771538351,120,,
1978,..,Quebec,Private,Sub-Total,784823304,122,,
1979,..,Quebec,Private,Sub-Total,876828776,136,,
1980,..,Quebec,Private,Sub-Total,988413452,152,,
1981,..,Quebec,Private,Sub-Total,1287364896,197,,
1982,..,Quebec,Private,Sub-Total,1500154027,228,,
1983,..,Quebec,Private,Sub-Total,1643146947,249,,
1984,..,Quebec,Private,Sub-Total,1827602831,276,,
1985,..,Quebec,Private,Sub-Total,2022848704,303,,
1986,..,Quebec,Private,Sub-Total,2401881082,358,,
1987,..,Quebec,Private,Sub-Total,2556530206,377,,
1988,..,Quebec,Private,Sub-Total,2828408228,414,,
1989,..,Quebec,Private,Sub-Total,3160011983,456,,
1990,..,Quebec,Private,Sub-Total,3476260473,497,,
1991,..,Quebec,Private,Sub-Total,3786895325,536,,
1992,..,Quebec,Private,Sub-Total,4111725579,578,,
1993,..,Quebec,Private,Sub-Total,4414818624,617,,
1994,..,Quebec,Private,Sub-Total,4611106621,641,,
1995,..,Quebec,Private,Sub-Total,4644885077,643,,
1996,..,Quebec,Private,Sub-Total,4692490245,648,,
1997,..,Quebec,Private,Sub-Total,4946254580,680,,
1998,..,Quebec,Private,Sub-Total,4995407788,685,,
1999,..,Quebec,Private,Sub-Total,5541303570,757,,
2000,..,Quebec,Private,Sub-Total,5887204928,800,,
2001,..,Quebec,Private,Sub-Total,6530256471,883,,
2002,..,Quebec,Private,Sub-Total,6999493413,941,,
2003,..,Quebec,Private,Sub-Total,7537133494,1007,,
2004,..,Quebec,Private,Sub-Total,7765615018,1031,,
2005,..,Quebec,Private,Sub-Total,8459326838,1116,,
2006,..,Quebec,Private,Sub-Total,8972152354,1176,,
2007,..,Quebec,Private,Sub-Total,9334708803,1213,,
2008,..,Quebec,Private,Sub-Total,10045743499,1294,,
2009,..,Quebec,Private,Sub-Total,10493820659,1338,,
2010,..,Quebec,Private,Sub-Total,11696762513,1475,,
2011,..,Quebec,Private,Sub-Total,11860353188,1482,,
2012,..,Quebec,Private,Sub-Total,12432879377,1542,,
2013,..,Quebec,Private,Sub-Total,13063341270,1611,,
2014,..,Quebec,Private,Sub-Total,12262247351,1505,,
2015,..,Quebec,Private,Sub-Total,12529929994,1533,,
2016,..,Quebec,Private,Sub-Total,13914751796,1692,,
2017,..,Quebec,Private,Sub-Total,14278793140,1720,,
2018,..,Quebec,Private,Sub-Total,14811255971,1763,,
2019,..,Quebec,Private,Sub-Total,15047155853,1770,,
2020,f,Quebec,Private,Sub-Total,14189567614,1655,,
2021,f,Quebec,Private,Sub-Total,14656260719,1699,,
1975,..,Quebec,Private,Capital,37976217,6,,
1976,..,Quebec,Private,Capital,17434409,3,,
1977,..,Quebec,Private,Capital,1232910,0,,
1978,..,Quebec,Private,Capital,58350836,9,,
1979,..,Quebec,Private,Capital,24730000,4,,
1980,..,Quebec,Private,Capital,100619000,15,,
1981,..,Quebec,Private,Capital,109693000,17,,
1982,..,Quebec,Private,Capital,28413000,4,,
1983,..,Quebec,Private,Capital,0,0,,
1984,..,Quebec,Private,Capital,0,0,,
1985,..,Quebec,Private,Capital,81511000,12,,
1986,..,Quebec,Private,Capital,84229000,13,,
1987,..,Quebec,Private,Capital,75642000,11,,
1988,..,Quebec,Private,Capital,22429996,3,,
1989,..,Quebec,Private,Capital,21720271,3,,
1990,..,Quebec,Private,Capital,21104283,3,,
1991,..,Quebec,Private,Capital,32427152,5,,
1992,..,Quebec,Private,Capital,29815156,4,,
1993,..,Quebec,Private,Capital,29741505,4,,
1994,..,Quebec,Private,Capital,42430957,6,,
1995,..,Quebec,Private,Capital,18762208,3,,
1996,..,Quebec,Private,Capital,35440299,5,,
1997,..,Quebec,Private,Capital,29775381,4,,
1998,..,Quebec,Private,Capital,55300000,8,,
1999,..,Quebec,Private,Capital,75400000,10,,
2000,..,Quebec,Private,Capital,80400000,11,,
2001,..,Quebec,Private,Capital,91400000,12,,
2002,..,Quebec,Private,Capital,142000000,19,,
2003,..,Quebec,Private,Capital,134400000,18,,
2004,..,Quebec,Private,Capital,122500000,16,,
2005,..,Quebec,Private,Capital,108300000,14,,
2006,..,Quebec,Private,Capital,136800000,18,,
2007,..,Quebec,Private,Capital,302133333,39,,
2008,..,Quebec,Private,Capital,216775000,28,,
2009,..,Quebec,Private,Capital,256775000,33,,
2010,..,Quebec,Private,Capital,315900000,40,,
2011,..,Quebec,Private,Capital,367204849,46,,
2012,..,Quebec,Private,Capital,514589695,64,,
2013,..,Quebec,Private,Capital,301551339,37,,
2014,..,Quebec,Private,Capital,319480145,39,,
2015,..,Quebec,Private,Capital,172962954,21,,
2016,..,Quebec,Private,Capital,232530269,28,,
2017,..,Quebec,Private,Capital,218600123,26,,
2018,..,Quebec,Private,Capital,278719363,33,,
2019,..,Quebec,Private,Capital,281963309,33,,
2020,f,Quebec,Private,Capital,430690429,50,,
2021,f,Quebec,Private,Capital,589908371,68,,
1975,..,Quebec,Private,Total,715539802,113,2347677223,371
1976,..,Quebec,Private,Total,755037393,118,2293572386,359
1977,..,Quebec,Private,Total,772771262,120,2266805177,352
1978,..,Quebec,Private,Total,843174140,131,2330199553,362
1979,..,Quebec,Private,Total,901558776,139,2319538235,359
1980,..,Quebec,Private,Total,1089032452,167,2519844318,387
1981,..,Quebec,Private,Total,1397057896,213,2905614317,444
1982,..,Quebec,Private,Total,1528567027,232,2884123616,438
1983,..,Quebec,Private,Total,1643146947,249,2908806990,441
1984,..,Quebec,Private,Total,1827602831,276,3068675274,463
1985,..,Quebec,Private,Total,2104359704,316,3363217741,505
1986,..,Quebec,Private,Total,2486110082,371,3740126204,558
1987,..,Quebec,Private,Total,2632172206,388,3718551988,548
1988,..,Quebec,Private,Total,2850838224,417,3795208799,555
1989,..,Quebec,Private,Total,3181732254,459,4008923896,579
1990,..,Quebec,Private,Total,3497364756,500,4192307143,599
1991,..,Quebec,Private,Total,3819322477,540,4385653815,621
1992,..,Quebec,Private,Total,4141540736,582,4537576088,638
1993,..,Quebec,Private,Total,4444560130,621,4733725327,661
1994,..,Quebec,Private,Total,4653537578,647,4901792091,682
1995,..,Quebec,Private,Total,4663647285,646,4823107094,668
1996,..,Quebec,Private,Total,4727930543,652,4826502768,666
1997,..,Quebec,Private,Total,4976029961,684,4976029961,684
1998,..,Quebec,Private,Total,5050707788,692,4925308417,675
1999,..,Quebec,Private,Total,5616703570,767,5361376544,732
2000,..,Quebec,Private,Total,5967604928,811,5573065191,758
2001,..,Quebec,Private,Total,6621656471,895,6065592870,820
2002,..,Quebec,Private,Total,7141493413,960,6498705441,873
2003,..,Quebec,Private,Total,7671533494,1025,6881251476,919
2004,..,Quebec,Private,Total,7888115018,1047,6906449193,917
2005,..,Quebec,Private,Total,8567626838,1130,7370197545,972
2006,..,Quebec,Private,Total,9108952354,1194,7723899258,1012
2007,..,Quebec,Private,Total,9636842136,1253,8061958266,1048
2008,..,Quebec,Private,Total,10262518499,1322,8458366508,1090
2009,..,Quebec,Private,Total,10750595659,1371,8684947766,1107
2010,..,Quebec,Private,Total,12012662513,1515,9484183802,1196
2011,..,Quebec,Private,Total,12227558037,1527,9541392568,1192
2012,..,Quebec,Private,Total,12947469072,1606,9957978079,1235
2013,..,Quebec,Private,Total,13364892608,1648,10194290073,1257
2014,..,Quebec,Private,Total,12581727496,1544,9506600410,1166
2015,..,Quebec,Private,Total,12702892947,1554,9476830288,1159
2016,..,Quebec,Private,Total,14147282066,1720,10711751812,1302
2017,..,Quebec,Private,Total,14497393263,1746,11057351009,1332
2018,..,Quebec,Private,Total,15089975334,1796,11290854565,1344
2019,..,Quebec,Private,Total,15329119162,1803,11131860344,1309
2020,f,Quebec,Private,Total,14620258043,1705,10327915997,1204
2021,f,Quebec,Private,Total,15246169090,1767,10526925778,1220
1975,..,Ontario,Private,Hospitals,119743000,14,,
1976,..,Ontario,Private,Hospitals,137426000,16,,
1977,..,Ontario,Private,Hospitals,152650000,18,,
1978,..,Ontario,Private,Hospitals,207714000,24,,
1979,..,Ontario,Private,Hospitals,255671000,30,,
1980,..,Ontario,Private,Hospitals,294274000,34,,
1981,..,Ontario,Private,Hospitals,343928000,39,,
1982,..,Ontario,Private,Hospitals,408957000,46,,
1983,..,Ontario,Private,Hospitals,463454000,51,,
1984,..,Ontario,Private,Hospitals,538291000,59,,
1985,..,Ontario,Private,Hospitals,593411000,64,,
1986,..,Ontario,Private,Hospitals,587506069,62,,
1987,..,Ontario,Private,Hospitals,659205964,68,,
1988,..,Ontario,Private,Hospitals,722654832,73,,
1989,..,Ontario,Private,Hospitals,734035581,73,,
1990,..,Ontario,Private,Hospitals,797428314,77,,
1991,..,Ontario,Private,Hospitals,885327486,85,,
1992,..,Ontario,Private,Hospitals,936577096,89,,
1993,..,Ontario,Private,Hospitals,1018568822,95,,
1994,..,Ontario,Private,Hospitals,1042106213,96,,
1995,..,Ontario,Private,Hospitals,1133011187,103,,
1996,..,Ontario,Private,Hospitals,1179172950,106,,
1997,..,Ontario,Private,Hospitals,1232480203,110,,
1998,..,Ontario,Private,Hospitals,1294054993,114,,
1999,..,Ontario,Private,Hospitals,1360134295,118,,
2000,..,Ontario,Private,Hospitals,1406216083,120,,
2001,..,Ontario,Private,Hospitals,1477498218,124,,
2002,..,Ontario,Private,Hospitals,1813393485,150,,
2003,..,Ontario,Private,Hospitals,1867481100,153,,
2004,..,Ontario,Private,Hospitals,2094375578,169,,
2005,..,Ontario,Private,Hospitals,2260237329,180,,
2006,..,Ontario,Private,Hospitals,2299466803,182,,
2007,..,Ontario,Private,Hospitals,2379922296,186,,
2008,..,Ontario,Private,Hospitals,2542583758,197,,
2009,..,Ontario,Private,Hospitals,2811272974,216,,
2010,..,Ontario,Private,Hospitals,2962618479,226,,
2011,..,Ontario,Private,Hospitals,3038901742,229,,
2012,..,Ontario,Private,Hospitals,3125947383,233,,
2013,..,Ontario,Private,Hospitals,3306222875,245,,
2014,..,Ontario,Private,Hospitals,3408320268,250,,
2015,..,Ontario,Private,Hospitals,3584161405,261,,
2016,..,Ontario,Private,Hospitals,3739522893,270,,
2017,..,Ontario,Private,Hospitals,3852528791,274,,
2018,..,Ontario,Private,Hospitals,4082599500,285,,
2019,..,Ontario,Private,Hospitals,4461416456,307,,
2020,f,Ontario,Private,Hospitals,4032450006,274,,
2021,f,Ontario,Private,Hospitals,4111843156,276,,
1975,..,Ontario,Private,Other Institutions,152914000,18,,
1976,..,Ontario,Private,Other Institutions,172479000,20,,
1977,..,Ontario,Private,Other Institutions,190569000,22,,
1978,..,Ontario,Private,Other Institutions,226475000,26,,
1979,..,Ontario,Private,Other Institutions,276682000,32,,
1980,..,Ontario,Private,Other Institutions,328995000,38,,
1981,..,Ontario,Private,Other Institutions,312421000,35,,
1982,..,Ontario,Private,Other Institutions,356843000,40,,
1983,..,Ontario,Private,Other Institutions,402677000,45,,
1984,..,Ontario,Private,Other Institutions,425776000,46,,
1985,..,Ontario,Private,Other Institutions,447739000,48,,
1986,..,Ontario,Private,Other Institutions,475440000,50,,
1987,..,Ontario,Private,Other Institutions,526991000,55,,
1988,..,Ontario,Private,Other Institutions,525651500,53,,
1989,..,Ontario,Private,Other Institutions,513554500,51,,
1990,..,Ontario,Private,Other Institutions,652921250,63,,
1991,..,Ontario,Private,Other Institutions,748010500,72,,
1992,..,Ontario,Private,Other Institutions,793393000,75,,
1993,..,Ontario,Private,Other Institutions,839671034,79,,
1994,..,Ontario,Private,Other Institutions,841975146,78,,
1995,..,Ontario,Private,Other Institutions,830077982,76,,
1996,..,Ontario,Private,Other Institutions,813919224,73,,
1997,..,Ontario,Private,Other Institutions,810438217,72,,
1998,..,Ontario,Private,Other Institutions,856321845,75,,
1999,..,Ontario,Private,Other Institutions,961140095,84,,
2000,..,Ontario,Private,Other Institutions,1086439205,93,,
2001,..,Ontario,Private,Other Institutions,1084165437,91,,
2002,..,Ontario,Private,Other Institutions,1198587335,99,,
2003,..,Ontario,Private,Other Institutions,1182038609,97,,
2004,..,Ontario,Private,Other Institutions,1440650704,116,,
2005,..,Ontario,Private,Other Institutions,1414908601,113,,
2006,..,Ontario,Private,Other Institutions,1661731607,131,,
2007,..,Ontario,Private,Other Institutions,1817141626,142,,
2008,..,Ontario,Private,Other Institutions,1908363694,148,,
2009,..,Ontario,Private,Other Institutions,2109841674,162,,
2010,..,Ontario,Private,Other Institutions,2224196075,169,,
2011,..,Ontario,Private,Other Institutions,2274088718,171,,
2012,..,Ontario,Private,Other Institutions,2367849732,177,,
2013,..,Ontario,Private,Other Institutions,2566089878,190,,
2014,..,Ontario,Private,Other Institutions,2473628537,182,,
2015,..,Ontario,Private,Other Institutions,2624084358,191,,
2016,..,Ontario,Private,Other Institutions,2763519437,199,,
2017,..,Ontario,Private,Other Institutions,3020163151,215,,
2018,..,Ontario,Private,Other Institutions,3312542413,232,,
2019,..,Ontario,Private,Other Institutions,3604566863,248,,
2020,f,Ontario,Private,Other Institutions,3354924094,228,,
2021,f,Ontario,Private,Other Institutions,3441583481,231,,
1975,..,Ontario,Private,Physicians,14869067,2,,
1976,..,Ontario,Private,Physicians,16308796,2,,
1977,..,Ontario,Private,Physicians,17149256,2,,
1978,..,Ontario,Private,Physicians,20605982,2,,
1979,..,Ontario,Private,Physicians,32002155,4,,
1980,..,Ontario,Private,Physicians,29067303,3,,
1981,..,Ontario,Private,Physicians,27623864,3,,
1982,..,Ontario,Private,Physicians,31997384,4,,
1983,..,Ontario,Private,Physicians,35426281,4,,
1984,..,Ontario,Private,Physicians,40401720,4,,
1985,..,Ontario,Private,Physicians,41470915,4,,
1986,..,Ontario,Private,Physicians,36066632,4,,
1987,..,Ontario,Private,Physicians,36119641,4,,
1988,..,Ontario,Private,Physicians,37082000,4,,
1989,..,Ontario,Private,Physicians,38070000,4,,
1990,..,Ontario,Private,Physicians,38729000,4,,
1991,..,Ontario,Private,Physicians,39132000,4,,
1992,..,Ontario,Private,Physicians,39462000,4,,
1993,..,Ontario,Private,Physicians,38325831,4,,
1994,..,Ontario,Private,Physicians,36890287,3,,
1995,..,Ontario,Private,Physicians,36175456,3,,
1996,..,Ontario,Private,Physicians,35317800,3,,
